After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.3166, test_acc = 0.1445
After round 2, test_loss = 2.2922, test_acc = 0.1874
After round 3, test_loss = 2.2719, test_acc = 0.2453
After round 4, test_loss = 2.2552, test_acc = 0.2763
After round 5, test_loss = 2.2407, test_acc = 0.3028
After round 6, test_loss = 2.2265, test_acc = 0.3209
After round 7, test_loss = 2.2121, test_acc = 0.3307
After round 8, test_loss = 2.2006, test_acc = 0.3499
After round 9, test_loss = 2.1763, test_acc = 0.3385
After round 10, test_loss = 2.1654, test_acc = 0.3383
After round 11, test_loss = 2.1537, test_acc = 0.3543
After round 12, test_loss = 2.1333, test_acc = 0.3648
After round 13, test_loss = 2.1214, test_acc = 0.3723
After round 14, test_loss = 2.0905, test_acc = 0.3729
After round 15, test_loss = 2.09, test_acc = 0.3871
After round 16, test_loss = 2.0833, test_acc = 0.3995
After round 17, test_loss = 2.0755, test_acc = 0.4221
After round 18, test_loss = 2.0736, test_acc = 0.4332
After round 19, test_loss = 2.059, test_acc = 0.4403
After round 20, test_loss = 2.0547, test_acc = 0.4448
After round 21, test_loss = 2.0134, test_acc = 0.4346
After round 22, test_loss = 2.0335, test_acc = 0.4486
After round 23, test_loss = 2.0091, test_acc = 0.4455
After round 24, test_loss = 2.0043, test_acc = 0.4381
After round 25, test_loss = 1.9781, test_acc = 0.4329
After round 26, test_loss = 1.9644, test_acc = 0.4234
After round 27, test_loss = 1.9354, test_acc = 0.4128
After round 28, test_loss = 1.948, test_acc = 0.4366
After round 29, test_loss = 1.9272, test_acc = 0.4364
After round 30, test_loss = 1.931, test_acc = 0.4439
After round 31, test_loss = 1.92, test_acc = 0.4492
After round 32, test_loss = 1.9063, test_acc = 0.4471
After round 33, test_loss = 1.8935, test_acc = 0.4435
After round 34, test_loss = 1.8891, test_acc = 0.4628
After round 35, test_loss = 1.8925, test_acc = 0.4627
After round 36, test_loss = 1.8784, test_acc = 0.4705
After round 37, test_loss = 1.8602, test_acc = 0.463
After round 38, test_loss = 1.8614, test_acc = 0.4638
After round 39, test_loss = 1.8457, test_acc = 0.4741
After round 40, test_loss = 1.8507, test_acc = 0.4697
After round 41, test_loss = 1.8148, test_acc = 0.4906
After round 42, test_loss = 1.8247, test_acc = 0.4897
After round 43, test_loss = 1.808, test_acc = 0.4694
After round 44, test_loss = 1.7972, test_acc = 0.4845
After round 45, test_loss = 1.7954, test_acc = 0.4981
After round 46, test_loss = 1.791, test_acc = 0.5037
After round 47, test_loss = 1.7867, test_acc = 0.514
After round 48, test_loss = 1.7907, test_acc = 0.5001
After round 49, test_loss = 1.7835, test_acc = 0.5255
After round 50, test_loss = 1.7744, test_acc = 0.5274
After round 51, test_loss = 1.7447, test_acc = 0.5287
After round 52, test_loss = 1.7614, test_acc = 0.522
After round 53, test_loss = 1.7301, test_acc = 0.5288
After round 54, test_loss = 1.7526, test_acc = 0.5263
After round 55, test_loss = 1.7192, test_acc = 0.534
After round 56, test_loss = 1.7362, test_acc = 0.5302
After round 57, test_loss = 1.6881, test_acc = 0.5178
After round 58, test_loss = 1.7053, test_acc = 0.5383
After round 59, test_loss = 1.6783, test_acc = 0.5199
After round 60, test_loss = 1.6649, test_acc = 0.5105
After round 61, test_loss = 1.669, test_acc = 0.5114
After round 62, test_loss = 1.6729, test_acc = 0.5066
After round 63, test_loss = 1.6493, test_acc = 0.5299
After round 64, test_loss = 1.6456, test_acc = 0.5426
After round 65, test_loss = 1.6267, test_acc = 0.5359
After round 66, test_loss = 1.6008, test_acc = 0.5251
After round 67, test_loss = 1.6133, test_acc = 0.529
After round 68, test_loss = 1.6104, test_acc = 0.5304
After round 69, test_loss = 1.6027, test_acc = 0.5488
After round 70, test_loss = 1.6006, test_acc = 0.5564
After round 71, test_loss = 1.5977, test_acc = 0.5575
After round 72, test_loss = 1.5731, test_acc = 0.5664
After round 73, test_loss = 1.5839, test_acc = 0.5711
After round 74, test_loss = 1.5409, test_acc = 0.5545
After round 75, test_loss = 1.5487, test_acc = 0.55
After round 76, test_loss = 1.561, test_acc = 0.5536
After round 77, test_loss = 1.5604, test_acc = 0.5491
After round 78, test_loss = 1.5477, test_acc = 0.5607
After round 79, test_loss = 1.5313, test_acc = 0.547
After round 80, test_loss = 1.5244, test_acc = 0.5537
After round 81, test_loss = 1.5388, test_acc = 0.558
After round 82, test_loss = 1.5445, test_acc = 0.5534
After round 83, test_loss = 1.5351, test_acc = 0.5693
After round 84, test_loss = 1.5468, test_acc = 0.5575
After round 85, test_loss = 1.5392, test_acc = 0.5699
After round 86, test_loss = 1.5523, test_acc = 0.5589
After round 87, test_loss = 1.5593, test_acc = 0.554
After round 88, test_loss = 1.5662, test_acc = 0.5492
After round 89, test_loss = 1.5736, test_acc = 0.5428
After round 90, test_loss = 1.5316, test_acc = 0.5634
After round 91, test_loss = 1.5346, test_acc = 0.5712
After round 92, test_loss = 1.5408, test_acc = 0.5682
After round 93, test_loss = 1.5058, test_acc = 0.575
After round 94, test_loss = 1.4884, test_acc = 0.5852
After round 95, test_loss = 1.485, test_acc = 0.5746
After round 96, test_loss = 1.485, test_acc = 0.5881
After round 97, test_loss = 1.4841, test_acc = 0.5838
After round 98, test_loss = 1.4819, test_acc = 0.5925
After round 99, test_loss = 1.4879, test_acc = 0.5882
After round 100, test_loss = 1.4853, test_acc = 0.5945
After round 101, test_loss = 1.4614, test_acc = 0.5893
After round 102, test_loss = 1.4695, test_acc = 0.5896
After round 103, test_loss = 1.4486, test_acc = 0.5858
After round 104, test_loss = 1.4421, test_acc = 0.5893
After round 105, test_loss = 1.4402, test_acc = 0.5895
After round 106, test_loss = 1.4192, test_acc = 0.5848
After round 107, test_loss = 1.4348, test_acc = 0.5964
After round 108, test_loss = 1.4364, test_acc = 0.5984
After round 109, test_loss = 1.4375, test_acc = 0.5995
After round 110, test_loss = 1.4123, test_acc = 0.5939
After round 111, test_loss = 1.4253, test_acc = 0.5991
After round 112, test_loss = 1.401, test_acc = 0.6108
After round 113, test_loss = 1.4101, test_acc = 0.6085
After round 114, test_loss = 1.3824, test_acc = 0.6096
After round 115, test_loss = 1.4087, test_acc = 0.6067
After round 116, test_loss = 1.4058, test_acc = 0.6107
After round 117, test_loss = 1.3515, test_acc = 0.6278
After round 118, test_loss = 1.3804, test_acc = 0.6205
After round 119, test_loss = 1.3801, test_acc = 0.6248
After round 120, test_loss = 1.3399, test_acc = 0.6279
After round 121, test_loss = 1.3279, test_acc = 0.6273
After round 122, test_loss = 1.3349, test_acc = 0.6309
After round 123, test_loss = 1.3272, test_acc = 0.6341
After round 124, test_loss = 1.3321, test_acc = 0.6337
After round 125, test_loss = 1.3036, test_acc = 0.6317
After round 126, test_loss = 1.3128, test_acc = 0.6335
After round 127, test_loss = 1.312, test_acc = 0.6354
After round 128, test_loss = 1.3185, test_acc = 0.6301
After round 129, test_loss = 1.2907, test_acc = 0.6332
After round 130, test_loss = 1.3058, test_acc = 0.6355
After round 131, test_loss = 1.2923, test_acc = 0.6434
After round 132, test_loss = 1.2794, test_acc = 0.6503
After round 133, test_loss = 1.2814, test_acc = 0.6467
After round 134, test_loss = 1.2874, test_acc = 0.6457
After round 135, test_loss = 1.2668, test_acc = 0.6452
After round 136, test_loss = 1.2533, test_acc = 0.6484
After round 137, test_loss = 1.2727, test_acc = 0.6471
After round 138, test_loss = 1.2765, test_acc = 0.645
After round 139, test_loss = 1.2486, test_acc = 0.6408
After round 140, test_loss = 1.2561, test_acc = 0.6473
After round 141, test_loss = 1.2628, test_acc = 0.6429
After round 142, test_loss = 1.2465, test_acc = 0.6457
After round 143, test_loss = 1.2501, test_acc = 0.646
