Client 3 started! ... 
round_1_aggregation order: [3, 0, 1, 4]
round_2_aggregation order: [3, 5, 0, 1]
round_3_aggregation order: [3, 0, 1, 5]
round_4_aggregation order: [3, 0, 1, 5]
round_5_aggregation order: [3, 0, 1, 5]
round_6_aggregation order: [3, 0, 1, 5]
round_7_aggregation order: [3, 0, 1, 5]
round_8_aggregation order: [3, 0, 1, 5]
round_9_aggregation order: [3, 0, 1, 5]
round_10_aggregation order: [3, 0, 1, 5]
round_11_aggregation order: [3, 0, 1, 5]
round_12_aggregation order: [3, 0, 1, 5]
round_13_aggregation order: [3, 1, 5, 6]
round_14_aggregation order: [3, 1, 5, 6]
round_15_aggregation order: [3, 5, 6, 1]
round_16_aggregation order: [3, 5, 6, 1]
round_17_aggregation order: [3, 5, 6, 1]
round_18_aggregation order: [3, 5, 6, 1]
round_19_aggregation order: [3, 5, 6, 1]
round_20_aggregation order: [3, 5, 6, 1]
round_21_aggregation order: [3, 5, 6, 1]
round_22_aggregation order: [3, 5, 6, 1]
round_23_aggregation order: [3, 5, 6, 0]
round_24_aggregation order: [3, 5, 6, 0]
round_25_aggregation order: [3, 4, 5, 6]
round_26_aggregation order: [3, 4, 5, 6]
round_27_aggregation order: [3, 4, 5, 6]
round_28_aggregation order: [3, 4, 5, 6]
round_29_aggregation order: [3, 5, 6, 0]
round_30_aggregation order: [3, 5, 6, 0]
round_31_aggregation order: [3, 5, 6, 4]
round_32_aggregation order: [3, 5, 6, 4]
round_33_aggregation order: [3, 4, 5, 6]
round_34_aggregation order: [3, 4, 5, 6]
round_35_aggregation order: [3, 4, 5, 6]
round_36_aggregation order: [3, 4, 5, 6]
round_37_aggregation order: [3, 5, 6, 4]
round_38_aggregation order: [3, 4, 5, 6]
round_39_aggregation order: [3, 4, 5, 6]
round_40_aggregation order: [3, 4, 5, 6]
round_41_aggregation order: [3, 4, 5, 6]
round_42_aggregation order: [3, 4, 5, 6]
round_43_aggregation order: [3, 4, 5, 6]
round_44_aggregation order: [3, 5, 6, 0]
round_45_aggregation order: [3, 0, 5, 6]
round_46_aggregation order: [3, 0, 5, 6]
round_47_aggregation order: [3, 0, 5, 6]
round_48_aggregation order: [3, 5, 6, 0]
round_49_aggregation order: [3, 5, 6, 0]
round_50_aggregation order: [3, 4, 5, 6]
round_51_aggregation order: [3, 5, 6, 4]
round_52_aggregation order: [3, 4, 5, 6]
round_53_aggregation order: [3, 4, 5, 6]
round_54_aggregation order: [3, 4, 5, 6]
round_55_aggregation order: [3, 4, 5, 6]
round_56_aggregation order: [3, 4, 5, 6]
round_57_aggregation order: [3, 5, 6, 4]
round_58_aggregation order: [3, 5, 6, 4]
round_59_aggregation order: [3, 5, 6, 4]
round_60_aggregation order: [3, 5, 6, 4]
round_61_aggregation order: [3, 4, 5, 6]
round_62_aggregation order: [3, 4, 5, 6]
round_63_aggregation order: [3, 4, 5, 6]
